,Неправильный вариант,Правильный вариант
10,"Граверы, журналисты, нувеллисты воспользовались удобным случаем, и я пожалован Римлянином» (К. Н. Батюшков.","Граверы, журналисты, нувеллисты воспользовались удобным случаем, и я пожалован Римлянином» (К. Н. Батюшков."
11,"Да и в самом деле, вы посудите: безденежье меня приковывало к ненавистной мне деревне; ни хозяйство, ни служба, ни литература – ничто ко мне не пристало; помещиков я чуждался, книги мне опротивели; для водянисто-пухлых и болезненно-чувствительных барышень, встряхивающих кудрями и лихорадочно твердящих слово «жызнь», – я не представлял ничего занимательного с тех пор, как перестал болтать и восторгаться; уединиться совершенно я не умел и не мог… Я стал, что вы думаете?","Да и в самом деле, вы посудите: безденежье меня приковывало к ненавистной мне деревне; ни хозяйство, ни служба, ни литература – ничто ко мне не пристало; помещиков я чуждался, книги мне опротивели; для водянисто-пухлых и болезненно-чувствительных барышень, встряхивающих кудрями и лихорадочно твердящих слово «жызнь», – я не представлял ничего занимательного с тех пор, как перестал болтать и восторгаться; уединиться совершенно я не умел и не мог… Я стал, что вы думаете?"
12,"Если бы она вышла за Симонсона, присутствие его становилось ненужно, и ему нужно было составлять новый план жизни.","Если бы она вышла за Симонсона, присутствие его становилось ненужно, и ему нужно было составлять новый план жизни."
13,"Если же удавалось отвечать хорошо, то старик охорашивался, оправлял на себе жилетку, галстух, фрак и принимал вид собственного достоинства.","Если же удавалось отвечать хорошо, то старик охорашивался, оправлял на себе жилетку, галстух, фрак и принимал вид собственного достоинства."
14,"Жена, как и всегда это последнее время, была очень элегантна и заманчива, беспокояще красива.","Жена, как и всегда это последнее время, была очень элегантна и заманчива, беспокояще красива."
15,"Жилище Чурисенка составляли: полусгнивший, подопрелый с углов сруб, погнувшийся набок и вросший в землю так, что над самой навозной завалиной виднелись одно разбитое красное волоковое оконце с полуоторванным ставнем, и другое, волчье, заткнутое хлопком.","Жилище Чурисенка составляли: полусгнивший, подопрелый с углов сруб, погнувшийся набок и вросший в землю так, что над самой навозной завалиной виднелись одно разбитое красное волоковое оконце с полуоторванным ставнем, и другое, волчье, заткнутое хлопком."
16,И сымать шапки до дома не стану.,И сымать шапки до дома не стану.
17,"Иначе пришлось бы осудить пол-России, – куды, гораздо больше.","Иначе пришлось бы осудить пол-России, – куды, гораздо больше."
18,"Конек его был блестящие связи, которые он имел частию по родству моей матери, частию по своим товарищам молодости, на которых он в душе сердился за то, что они далеко ушли в чинах, а он навсегда остался отставным поручиком гвардии.","Конёк его был блестящие связи, которые он имел частию по родству моей матери, частию по своим товарищам молодости, на которых он в душе сердился за то, что они далеко ушли в чинах, а он навсегда остался отставным поручиком гвардии."
19,"Много разных закоулков знает, тем и драгоценен для этаких вьюношей.","Много разных закоулков знает, тем и драгоценен для этаких вьюношей."
20,"Не было этой всей безурядицы вольного света, в котором он не находил себе места и ошибался в выборах; не было Сони, с которой надо было или не надо было объясняться.","Не было этой всей безурядицы вольного света, в котором он не находил себе места и ошибался в выборах; не было Сони, с которой надо было или не надо было объясняться."
21,"Несмотря на кажущуюся последовательность речи, он несколько раз противуречит себе, и в логике и в чувствах.","Несмотря на кажущуюся последовательность речи, он несколько раз противуречит себе, и в логике и в чувствах."
22,"Но Тарутинское сраженье и приготовления к нему, благодаря случайному обилию и скрещиванию матерьялов, я вижу, вижу перед глазами совсем в другом свете» (т. 15, с. 52).","Но Тарутинское сраженье и приготовления к нему, благодаря случайному обилию и скрещиванию матерьялов, я вижу, вижу перед глазами совсем в другом свете» (т. 15, с. 52)."
23,"Но люди -- большие, взрослые люди -- не переставали обманывать и мучать себя и друг друга.","Но люди -- большие, взрослые люди -- не переставали обманывать и мучать себя и друг друга."
24,"Но я вспоминала, что вчера он сказал, что приезжает в последний раз, и Катя заставляла меня примеривать подвенечное платье и сказала: к завтраму; и я верила на мгновенье и снова сомневалась.","Но я вспоминала, что вчера он сказал, что приезжает в последний раз, и Катя заставляла меня примеривать подвенечное платье и сказала: к завтраму; и я верила на мгновенье и снова сомневалась."
25,"Петру Степановичу, я вам скажу, сударь, оченно легко жить на свете, потому он человека сам представит себе да с таким и живет.","Петру Степановичу, я вам скажу, сударь, оченно легко жить на свете, потому он человека сам представит себе да с таким и живёт."
26,Потапыч продежурил при ней в воксале целый день.,Потапыч продежурил при ней в воксале целый день.
27,"Потом у другого чана крюк снялся с гвоздя да опять на гвоздь; потом будто кто-то к двери пошел да вдруг как закашляет, как заперхает, словно овца какая, да зычно так… Мы все так ворохом и свалились, друг под дружку полезли… Уж как же мы напужались о ту пору!","Потом у другого чана крюк снялся с гвоздя да опять на гвоздь; потом будто кто-то к двери пошёл да вдруг как закашляет, как заперхает, словно овца какая, да зычно так… Мы все так ворохом и свалились, друг под дружку полезли… Уж как же мы напужались о ту пору!"
28,"Приказали вы, душенька, через Терезу сказать, что вам шелчку цветного для вышиванья нужно; куплю, маточка, куплю, и шелчку куплю.","Приказали вы, душенька, через Терезу сказать, что вам шелчку цветного для вышиванья нужно; куплю, маточка, куплю, и шелчку куплю."
29,"Примите за аллегорию и приравняйте талант к капиталу, что даже и похоже, и выйдет такая речь: «Это чтоб нам без блеску и еффекту, это нам никоим образом невозможно, потому как нам никак невозможно, чтобы нам совсем без блеску и еффекту».","Примите за аллегорию и приравняйте талант к капиталу, что даже и похоже, и выйдет такая речь: «Это чтоб нам без блеску и еффекту, это нам никоим образом невозможно, потому как нам никак невозможно, чтобы нам совсем без блеску и еффекту»."
30,"Разорившись кругом, отправился он в Петербург искать себе места и умер в нумере гостиницы, не дождавшись никакого решения.","Разорившись кругом, отправился он в Петербург искать себе места и умер в нумере гостиницы, не дождавшись никакого решения."
31,"Сии суть средства, которые правительство употребило, чтобы возвратить порядок и облегчить ваше положение; но, чтобы достигнуть до того, нужно, чтобы вы с ним соединили ваши старания, чтобы забыли, если можно, ваши несчастия, которые претерпели, предались надежде не столь жестокой судьбы, были уверены, что неизбежимая и постыдная смерть ожидает тех, кои дерзнут на ваши особы и оставшиеся ваши имущества, а напоследок и не сомневались, что оные будут сохранены, ибо такая есть воля величайшего и справедливейшего из всех монархов.","Сии суть средства, которые правительство употребило, чтобы возвратить порядок и облегчить ваше положение; но, чтобы достигнуть до того, нужно, чтобы вы с ним соединили ваши старания, чтобы забыли, если можно, ваши несчастия, которые претерпели, предались надежде не столь жестокой судьбы, были уверены, что неизбежимая и постыдная смерть ожидает тех, кои дерзнут на ваши особы и оставшиеся ваши имущества, а напоследок и не сомневались, что оные будут сохранены, ибо такая есть воля величайшего и справедливейшего из всех монархов."
32,"Сказав это, она кликнула Наденьку и пошла к воксалу, где и присоединилась ко всей нашей компании.","Сказав это, она кликнула Наденьку и пошла к воксалу, где и присоединилась ко всей нашей компании."
33,"Сначала в семействе чувствовалась неловкость в обращении с князем Андреем; он казался человеком из чуждого мира, и Наташа долго приучала домашних к князю Андрею и с гордостию уверяла всех, что он только кажется таким особенным, а что он такой же, как и все, и что она его не боится и что никто не должен бояться его.","Сначала в семействе чувствовалась неловкость в обращении с князем Андреем; он казался человеком из чуждого мира, и Наташа долго приучала домашних к князю Андрею и с гордостию уверяла всех, что он только кажется таким особенным, а что он такой же, как и все, и что она его не боится и что никто не должен бояться его."
34,"Так возникла «иторическая школа», по-новому взглянувшая на традиционные церковно-религиозные сюжеты и «давшая первую идею Христа более человеческого, чем небесного» (В.В. Стасов.","Так возникла «иторическая школа», по-новому взглянувшая на традиционные церковно-религиозные сюжеты и «давшая первую идею Христа более человеческого, чем небесного» (В.В. Стасов."
35,"Узнав, что бабушка и не думает уезжать, а, напротив, отправляется опять в воксал, они во всем конклаве (кроме Полины) пришли к ней переговорить с нею окончательно и даже откровенно.","Узнав, что бабушка и не думает уезжать, а, напротив, отправляется опять в воксал, они во всем конклаве (кроме Полины) пришли к ней переговорить с нею окончательно и даже откровенно."
36,Я достал лист бумаги и прежде всего хотел приняться за расписание обязанностей и занятий на следующий год. Надо было разлиневать бумагу.,Я достал лист бумаги и прежде всего хотел приняться за расписание обязанностей и занятий на следующий год. Надо было разлиневать бумагу.
37,Я родился шесть недель после сватьбы.,Я родился шесть недель после свадьбы.
38,"Я сообщу г-ну Спасовичу, что в Сибири в гошпитале, в арестантских палатах, мне случалось видеть спины только что приходивших сейчас после наказания шпицрутенами (сквозь строй) арестантов, после пятисот, тысячи и двух тысяч палок разом.","Я сообщу г-ну Спасовичу, что в Сибири в гошпитале, в арестантских палатах, мне случалось видеть спины только что приходивших сейчас после наказания шпицрутенами (сквозь строй) арестантов, после пятисот, тысячи и двух тысяч палок разом."
39,"– Да, это приводит меня к цели моего разговора, – сказал он, с усилием успокоиваясь.","– Да, это приводит меня к цели моего разговора, – сказал он, с усилием успокаиваясь."
40,"– А это я так сделал по некоторой причине-с. Ибо будь человек знающий и привычный, вот как я, например, который эти деньги сам видел зараньше и, может, их сам же в тот пакет ввертывал и собственными глазами смотрел, как его запечатывали и надписывали, то такой человек-с с какой же бы стати, если примерно это он убил, стал бы тогда, после убивства, этот пакет распечатывать, да еще в таких попыхах, зная и без того совсем уж наверно, что деньги эти в том пакете беспременно лежат-с?","– А это я так сделал по некоторой причине-с. Ибо будь человек знающий и привычный, вот как я, например, который эти деньги сам видел зараньше и, может, их сам же в тот пакет ввертывал и собственными глазами смотрел, как его запечатывали и надписывали, то такой человек-с с какой же бы стати, если примерно это он убил, стал бы тогда, после убивства, этот пакет распечатывать, да еще в таких попыхах, зная и без того совсем уж наверно, что деньги эти в том пакете беспременно лежат-с?"
41,"-- кроме того, что он по-настоящему не должен бы сметь и подумать лезть ко мне с своими снами, тем более с белым быком; кроме этого -- согласитесь сами, полковник, -- что такое белый бык, как не доказательство грубости, невежества, мужичества вашего неотесанного Фалалея?","-- кроме того, что он по-настоящему не должен бы сметь и подумать лезть ко мне с своими снами, тем более с белым быком; кроме этого -- согласитесь сами, полковник, -- что такое белый бык, как не доказательство грубости, невежества, мужичества вашего неотёсанного Фалалея?"
42,"«Вре-ешь, вре-ешь, – твердил, задыхаясь, Бирюк, – не уйдешь…» Я бросился в направлении шума и прибежал, спотыкаясь на каждом шагу, на место битвы.","«Врё-ёшь, врё-ёшь, – твердил, задыхаясь, Бирюк, – не уйдёшь…» Я бросился в направлении шума и прибежал, спотыкаясь на каждом шагу, на место битвы."
43,"«Только, – говорит, – поедемте по моим мелочам, к Зуше; я кстати посмотрю Чаплыгино; вы знаете, мой дубовый лес?","«Только, – говорит, – поедемте по моим мелочам, к Зуше; я кстати посмотрю Чаплыгино; вы знаете, мой дубовый лес?"
44,"А коль Аграфена Александровна не прийдет (потому что оне, пожалуй, совсем и не намерены вовсе никогда прийти-с), то накинутся на меня опять завтра поутру: «Зачем не пришла?","А коль Аграфена Александровна не прийдёт (потому что оне, пожалуй, совсем и не намерены вовсе никогда прийти-с), то накинутся на меня опять завтра поутру: «Зачем не пришла?"
45,"А так как во всей вселенной о знаках этих знают всего лишь я да они-с, так они безо всякого уже сумления и нисколько не окликая (вслух окликать они очень боятся) и отопрут.","А так как во всей вселенной о знаках этих знают всего лишь я да они-с, так они безо всякого уже сумления и нисколько не окликая (вслух окликать они очень боятся) и отопрут."
46,"А я ни душ не губил, ни чужого не брал, акромя что нищую братию оделял.","А я ни душ не губил, ни чужого не брал, акромя что нищую братию оделял."
47,"Алеша разглядел на диване, на котором, очевидно, сейчас сидели, брошенную шелковую мантилью, а на столе пред диваном две недопитые чашки шоколату, бисквиты, хрустальную тарелку с синим изюмом и другую с конфетами.","Алёша разглядел на диване, на котором, очевидно, сейчас сидели, брошенную шёлковую мантилью, а на столе пред диваном две недопитые чашки шоколату, бисквиты, хрустальную тарелку с синим изюмом и другую с конфетами."
48,"Без сомнения, он никогда не будет в состоянии возвратить ей своего уважения; но не было и не могло быть никаких причин ему расстроивать свою жизнь и страдать вследствие того, что она была дурная и неверная жена.","Без сомнения, он никогда не будет в состоянии возвратить ей своего уважения; но не было и не могло быть никаких причин ему расстраивать свою жизнь и страдать вследствие того, что она была дурная и неверная жена."
49,"Благородство и чистота помыслов всех тех, кто взыскует равенства и братства, могут, по его наблюдению, искажаться уже одной только торопливостью в выводах и обобщениях, принятием гипотез за несокрушимые аксиомы, бездумным, не позволяющим себе никакого анализа, воплощением гуманных идей, сопровождающимся огульным отрицанием тысячелетних традиций, исторических ценностей и народных идеалов.","Благородство и чистота помыслов всех тех, кто взыскует равенства и братства, могут, по его наблюдению, искажаться уже одной только торопливостью в выводах и обобщениях, принятием гипотез за несокрушимые аксиомы, бездумным, не позволяющим себе никакого анализа, воплощением гуманных идей, сопровождающимся огульным отрицанием тысячелетних традиций, исторических ценностей и народных идеалов."
50,"Был связан с Аракчеевым, влиял на политику Александра I. Ханжество Фотия высмеял в известной эпиграмме «Полуфанатик, полуплут…» (1824) А. С. Пушкин.","Был связан с Аракчеевым, влиял на политику Александра I. Ханжество Фотия высмеял в известной эпиграмме «Полуфанатик, полуплут…» (1824) А. С. Пушкин."
51,"Была она расстроена с самого давешнего посещения Мити и уже предчувствовала, что в ночь ей не миновать обыкновенного в таких случаях с нею мигреня.","Была она расстроена с самого давешнего посещения Мити и уже предчувствовала, что в ночь ей не миновать обыкновенного в таких случаях с нею мигреня."
52,"Было еще много разных характеров мирян: были мрачные, приличные, равнодушные, загнанные; были и бабы позади мужиков, с палочками; но про всех их, Бог даст, я расскажу в другой раз. Толпа же составлялась вообще из мужиков, стоявших на сходке, как в церкви, и позади шепотом разговаривавших о домашних делах, о том, когда в роще вырезки накладать, или молча ожидавших, скоро ли кончат галдеть.","Было ещё много разных характеров мирян: были мрачные, приличные, равнодушные, загнанные; были и бабы позади мужиков, с палочками; но про всех их, Бог даст, я расскажу в другой раз. Толпа же составлялась вообще из мужиков, стоявших на сходке, как в церкви, и позади шёпотом разговаривавших о домашних делах, о том, когда в роще вырезки накладать, или молча ожидавших, скоро ли кончат галдеть."
53,"Было что-то тяжелое, натянутое, недоговоренное, ссорное; все хмурились.","Было что-то тяжёлое, натянутое, недоговоренное, ссорное; все хмурились."
54,"Быть может, с детским восторгом мечтал молодой именинник о том, как его встретят дома – мать, отец, братишки, сестренки… И вот, сиди один-одинешенек, голодный в пустом доме и раздумывай о страшном гневе отца, который придется встретить, об унижении, стыде, а быть может, и наказании, которое предстоит перенесть.","Быть может, с детским восторгом мечтал молодой именинник о том, как его встретят дома – мать, отец, братишки, сестрёнки… И вот, сиди один-одинёшенек, голодный в пустом доме и раздумывай о страшном гневе отца, который придётся встретить, об унижении, стыде, а быть может, и наказании, которое предстоит перенесть."
55,"В особенности этим отличалась полунаука, самый страшный бич человечества, хуже мора, голода и войны, неизвестный до нынешнего столетия.","В особенности этим отличалась полунаука, самый страшный бич человечества, хуже мора, голода и войны, неизвестный до нынешнего столетия."
56,"В хрустальном дворце оно и немыслимо: страдание есть сомнение, есть отрицание, а что за хрустальный дворец, в котором можно усумниться?","В хрустальном дворце оно и немыслимо: страдание есть сомнение, есть отрицание, а что за хрустальный дворец, в котором можно усомниться?"
57,"В чем состояли эти умыслы, он не мог дать себе отчета, но и допустить мысль, что так, ни за что, по доброте незнакомый человек подарил ему лошадь в сорок монетов, ему казалось невозможно.","В чём состояли эти умыслы, он не мог дать себе отчёта, но и допустить мысль, что так, ни за что, по доброте незнакомый человек подарил ему лошадь в сорок монетов, ему казалось невозможно."
58,"Веками бьются и трудятся люди, чтобы отодвинуть к одной стороне благо, к другой неблаго.","Веками бьются и трудятся люди, чтобы отодвинуть к одной стороне благо, к другой неблаго."
59,"Весь этот день m-lle Blanche пробовала и обработывала князя, чтоб он высказался наконец решительно.","Весь этот день m-lle Blanche пробовала и обрабатывала князя, чтоб он высказался наконец решительно."
60,"Ветер выл в опустелых улицах, вздымая выше колец черную воду Фонтанки и задорно потрогивая тощие фонари набережной, которые в свою очередь вторили его завываниям тоненьким, пронзительным скрипом, что составляло бесконечный, пискливый, дребезжащий концерт, весьма знакомый каждому петербургскому жителю.","Ветер выл в опустелых улицах, вздымая выше колец чёрную воду Фонтанки и задорно потрогивая тощие фонари набережной, которые в свою очередь вторили его завываниям тоненьким, пронзительным скрипом, что составляло бесконечный, пискливый, дребезжащий концерт, весьма знакомый каждому петербургскому жителю."
61,"Взобрался и Санин на своего коня; Марья Николаевна отсалютовала г-ну Полозову хлыстиком, потом ударила им свою лошадь по выгнутой и плоской шее: та взвилась на дыбы, прыгнула вперед и пошла щепотким, укрощенным шагом, вздрагивая всеми жилками, собираясь на мундштуке, кусая воздух и порывисто фыркая.","Взобрался и Санин на своего коня; Марья Николаевна отсалютовала г-ну Полозову хлыстиком, потом ударила им свою лошадь по выгнутой и плоской шее: та взвилась на дыбы, прыгнула вперёд и пошла щепотким, укрощённым шагом, вздрагивая всеми жилками, собираясь на мундштуке, кусая воздух и порывисто фыркая."
62,"Во всех имениях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделень, которые должны были быть, в скором времени, открыты.","Во всех имениях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделень, которые должны были быть, в скором времени, открыты."
63,"Война осветит столько нового и заставит столько изменить старого, что вы бы никогда не добились того самооплеванием и поддразниваньем, которые обратились в последнее время лишь в простую забаву.","Война осветит столько нового и заставит столько изменить старого, что вы бы никогда не добились того самооплеванием и поддразниваньем, которые обратились в последнее время лишь в простую забаву."
64,"Володя так покраснел, так стал подергиваться и испуганно глядеть на меня и на всех, что я почувствовал, как я ошибся, но полбутылочку принесли, и мы ее выпили с большим удовольствием.","Володя так покраснел, так стал подёргиваться и испуганно глядеть на меня и на всех, что я почувствовал, как я ошибся, но полбутылочку принесли, и мы её выпили с большим удовольствием."
65,Вообще во всех подобных обстоятельствах крайне любил наш герой оправдывать себя в собственных глазах своих разными неотразимыми резонами и успокоивать таким образом вполне свою совесть.,Вообще во всех подобных обстоятельствах крайне любил наш герой оправдывать себя в собственных глазах своих разными неотразимыми резонами и успокаивать таким образом вполне свою совесть.
66,"Вот он знает теперь про меня, что я оченно паспортом скучаю, – потому в Расее никак нельзя без документа, – так уж и думает, что он мою душу заполонил.","Вот он знает теперь про меня, что я оченно паспортом скучаю, – потому в Расее никак нельзя без документа, – так уж и думает, что он мою душу заполонил."
67,"Вот пошел он в лес по орехи, да и заблудился; зашел – Бог знает куды зашел.","Вот пошёл он в лес по орехи, да и заблудился; зашёл – Бог знает куды зашёл."
